id,topic,category,impact_1_5,urgency_1_5,evidence_1_5,reuse_1_5,effort_1_5,priority_score,status,why_now,next_action
R001,Google Business Profile + Maps + local SEO,Local discovery,5,5,5,5,2,23,NOW,"Servicio local en Huacho: existe demanda que puede descubrir la marca fuera de Meta","Crear perfil de empresa de servicio, zonas, servicios, fotos y medición"
R002,Motor de reseñas + testimonios + referidos,Reputation,5,4,5,5,2,22,NOW,"La confianza es crítica para contratar un servicio dentro del hogar","Diseñar solicitud post-servicio, enlace/QR, permiso de testimonio y KPI"
R003,Tracking y atribución paid/organic/WhatsApp,Measurement,5,5,4,5,3,21,NOW,"Sin fuente/campaña/anuncio no se puede saber qué merece más presupuesto","Definir source taxonomy, campaign_id/ad_id, campos mínimos y reglas de atribución"
R004,Playbook comercial de seguimiento y objeciones,Sales enablement,5,4,4,5,2,21,NOW,"Una campaña puede generar demanda y perderla después de la cotización","Catalogar objeciones, SLA de respuesta y secuencia de follow-up"
R005,Voz del cliente y motivos de pérdida,Customer research,5,4,4,5,2,21,NOW,"Las conversaciones reales deben alimentar creativos, oferta y proceso","Crear tags de pérdida + encuesta post-servicio + revisión semanal"
R006,Oferta y pricing experimental,Commercial strategy,5,4,4,5,2,21,NOW,"El precio/oferta puede ser la principal fuga aunque el anuncio funcione","Definir ofertas sin descuento, bundles y experimentos con margen protegido"
R007,Inteligencia competitiva con Meta Ad Library + Google Maps,Competitive intelligence,4,4,5,5,2,20,NOW,"Permite detectar mensajes, ofertas y huecos del mercado sin adivinar","Crear watchlist Huacho/Perú y revisión semanal de anuncios/reseñas"
R008,Motor orgánico Reels + Stories + contenido reutilizable,Organic growth,5,4,4,5,3,20,NOW,"El orgánico debe construir awareness/confianza y abastecer candidatos para pauta","Definir pilares, formatos 9:16, calendario y KPI de DMs/consultas"
R009,Sistema de producción creativa por placement,Creative operations,4,4,4,5,2,19,NOW,"El mismo concepto necesita activos nativos para Feed/Stories/Reels","Crear specs, safe zones, naming y variantes por concepto"
R010,First-party data + CRM + Meta Conversions API,Data infrastructure,5,3,4,5,4,18,NEXT,"Meta enfatiza calidad de datos; será más útil cuando exista más volumen","Diseñar arquitectura futura y condiciones mínimas de activación"
R011,Remarketing y audiencias de re-engagement,Paid media,4,3,4,4,3,16,NEXT,"Será relevante cuando exista audiencia suficiente de interacción/cotizaciones","Definir pools, exclusiones, ventanas y gatillo de volumen"
R012,CRO de landing page y puentes hacia WhatsApp,Conversion,4,3,3,5,3,16,NEXT,"La landing puede aumentar confianza antes de la conversación","Instrumentar clicks WhatsApp y probar prueba social/servicios/CTA"
R013,LTV recompra mantenimiento y referidos,Retention,4,3,3,5,3,16,NEXT,"La rentabilidad mejora si una reserva genera más valor futuro","Definir ventanas de recompra y campañas post-servicio"
R014,Geografía capacidad rutas y estacionalidad,Demand planning,4,3,3,4,3,15,NEXT,"Huacho es un mercado geográfico y el costo de atención varía por zona","Registrar zona, duración, traslado, margen y demanda por semana"
R015,Privacidad consentimiento y gobierno de datos,Governance,3,2,4,5,2,15,RADAR,"El tracking y CRM crecerán y necesitan reglas mínimas desde temprano","Documentar datos permitidos, retención y accesos"
R016,Google Search Ads y captura de intención activa,Channel expansion,4,2,3,5,4,14,RADAR,"Puede complementar Meta cuando haya base de conversión y oferta validada","Investigar demanda y CPC cuando exista CAC de referencia"
R017,IA y automatización de creativos/operación,Automation,3,2,3,4,3,12,RADAR,"Puede reducir trabajo repetitivo pero no sustituye señal del cliente","Automatizar solo tareas con proceso y KPI estables"
R018,Incrementalidad y medición causal avanzada,Measurement,3,1,2,5,5,9,LATER,"Valiosa a mayor escala; prematura con pocos eventos","Revisar cuando el gasto y conversiones permitan experimentación robusta"
