dia,fase,pauta,organico,diseno,comercial,inteligencia_comercial,decision_director
1,Instrumentar,"S/10; 1 campaña simple a WhatsApp; 1 creativo","Publicar transformación antes/después","Preparar formato 9:16 y 1:1","Responder y registrar cada chat","Definir ticket, costo variable, margen y CAC máximo","No escalar; validar tracking"
2,Instrumentar,"Mantener sin cambios salvo error","Story del proceso real","Recolectar fotos/videos","Medir tiempo de respuesta","Clasificar lead calificado/no calificado","Revisar calidad de chats"
3,Señal,"Mantener presupuesto","Post educativo: qué problema resuelve el lavado","Crear segunda apertura/hook","Registrar objeciones","Reporte gasto→chat→calificado→cotización","HOLD salvo falla evidente"
4,Señal,"S/10 si no existe razón de pausa","Story FAQ","Diseñar pieza de confianza","Follow-up cotizaciones abiertas","Top 3 razones de no avance","Elegir una fuga a vigilar"
5,Señal,"Mantener ganador/challenger controlado","Antes/después con CTA a WhatsApp","Editar reel corto","Cerrar pendientes","Calcular costo por conversación","No decidir por likes"
6,Señal,"Mantener","Testimonio/prueba social","Crear tarjeta testimonio","Solicitar reseñas","Separar fuente paid/organic","Revisar evidencia cualitativa"
7,Review 1,"Sin cambio antes del review","Resumen semanal / caso real","Inventario de mejores activos","Revisar pipeline","Primer funnel semanal y CAC si hubo reserva","SCALE/HOLD/FIX/KILL"
8,Optimizar,"Aplicar solo decisión del review","Reel transformación","Nueva variante de hook","Aplicar mejora comercial","Comparar anuncio/servicio/zona","Una hipótesis principal"
9,Optimizar,"Mantener","Story detrás de cámaras","Capturar textura/proceso","Responder rápido","Motivos de pérdida","HOLD si muestra pequeña"
10,Optimizar,"Solo subir si hito lo autoriza","Educación: manchas/olores","Carrusel problema→proceso→resultado","Seguimiento 24h","Tasa cotización→reserva","Revisar oferta"
11,Optimizar,"Ganador + challenger si hay volumen","FAQ precio/proceso","Variación del creativo ganador","Registrar sensibilidad a precio","Ticket cotizado vs reservado","No descuentos sin hipótesis"
12,Optimizar,"Mantener","Story agenda/disponibilidad real","Creativo urgencia ética","Cerrar agenda","Capacidad próxima semana","Alinear pauta con capacidad"
13,Optimizar,"Mantener","Testimonio","Pieza prueba social","Solicitar referido","Paid vs organic conversion","Detectar mejor fuente"
14,Review 2,"Reasignar solo con evidencia","Publicación recap","Seleccionar top 3 creativos","Pipeline review","CAC, margen, reservas y fugas","Decidir nivel de presupuesto"
15,Repetibilidad,"Presupuesto según hito","Reutilizar mejor contenido","Adaptar ganador a Reel/Story","SLA de respuesta","Cohorte días 1-14","Buscar segunda/tercera reserva"
16,Repetibilidad,"Mantener","Contenido educativo","Nuevo hook, misma oferta","Follow-up sistemático","Conversación→cotización","Una variable por test"
17,Repetibilidad,"Mantener","Caso real completo","Edición caso cliente","Cerrar leads calientes","Tiempo a reserva","Revisar fricción"
18,Repetibilidad,"Posible +20-30% si gate verde","Story prueba social","Variante challenger","Mantener SLA","CAC móvil reciente","Observar sin sobre-reaccionar"
19,Repetibilidad,"Mantener","FAQ objeción #1","Pieza objeción #1","Script respuesta objeción","Razón pérdida #1","Corregir mensaje/oferta"
20,Repetibilidad,"Mantener","Antes/después","Biblioteca UGC","Solicitar fotos permiso","Performance por creativo","Buscar patrón"
21,Review 3,"Review presupuesto","Resumen semana","Ranking creativo","Pipeline completo","CAC + margen después pauta","SCALE/HOLD/FIX/KILL"
22,Escala inicial,"Aplicar hito","Contenido ganador orgánico","Iterar top creativo","Reforzar follow-up","Capacidad vs demanda","No escalar sobre operación saturada"
23,Escala inicial,"Mantener","Contenido confianza","Testimonio + proceso","Cierre de cotizaciones","Reservas por servicio","Priorizar servicio rentable"
24,Escala inicial,"Challenger controlado","Educativo","Nueva variante","Atención","Gasto incremental vs reservas","Medir efecto del aumento"
25,Escala inicial,"Mantener","Story agenda","Formato corto","Seguimiento","CAC marginal aproximado","¿el siguiente sol sigue siendo rentable?"
26,Escala inicial,"Mantener","Prueba social","Reciclar ganador","Solicitar reseñas","Organic assisted leads","Fortalecer marca"
27,Escala inicial,"Mantener","Caso cliente","Creativo caso","Pipeline","Motivos pérdida acumulados","Elegir mejora comercial"
28,Review 4,"Review completo","Recap mensual","Top/bottom creativos","Ventas y pipeline","P&L simplificado de adquisición","Presupuesto próximo ciclo"
29,Plan mes 2,"Definir mix ganador/challenger","Calendario orgánico mes 2","Plan de producción","Meta comercial","Forecast leads→reservas","Aprobar presupuesto"
30,Plan mes 2,"Configurar siguiente ciclo","Publicar aprendizaje/caso","Backlog creativo","Backlog scripts","Documento 5 aprendizajes","Cerrar ciclo y abrir siguiente"
